Bibliothek,Buchhandlung
Zahnbürste,Kamm
Fernseher,Radio
Post,Paketdienst
Teller,Pfanne
Stift,Pinsel
Schule,Kindergarten
Büro,Werkstatt
Tank,Batterie
Schloss,Schlüssel
Auto,Fahrrad
Schnee,Regen
Sonne,Stern
Blume,Baum
Straße,Gehweg
Bäcker,Metzger
Laden,Markt
Polizei,Sicherheitsdienst
Arzt,Apotheker
Student,Schüler
Lehrer,Trainer
Sänger,Schauspieler
Fußballspieler,Tennisspieler
Oper,Konzert
Taxi,Uber
Bahn,Straßenbahn
Zug,Flugzeug
Wolke,Rauch
Zeitung,Zeitschrift
Spielplatz,Freizeitpark
Fenster,Tür
Haus,Hotel
Sofa,Stuhl
Dusche,Badewanne
Teller,Tablett
Milch,Saft
Zucker,Salz
Wasser,Limonade
Kaffee,Kakao
Handy,Laptop
Tastatur,Maus
Lampe,Deckenlicht
Uhr,Kalender
Kamera,Fernglas
Brücke,Tunnel
Stadt,Dorf
Bank,Sparkasse
Insel,Küste
Flugzeug,Hubschrauber
Zahnarzt,Kieferorthopäde
Zahnarzt,Friseur
Fußball,Basketball
Banane,Apfel
Tankstelle,Supermarkt
Schwimmbad,Sauna
Flugzeug,Schiff
Taxi,Bus
Kino,Theater
Küche,Badezimmer
Gabel,Messer
Spiegel,Fenster
Sessel,Bett
Kühlschrank,Backofen
Polizei,Feuerwehr
Taschenlampe,Kerze
Insel,Berg
Sonnenaufgang,Sonnenuntergang
Handschuh,Mütze
Vogel,Fisch
Schloss,Burg
Bleistift,Kugelschreiber
Teller,Schüssel
Brille,Sonnenbrille
Schrank,Kommode
Uhr,Wecker
Hose,Jeans
Gitarre,Ukulele
Lampe,Kerze
Buch,Heft
Messer,Schere
Eule,Kauz
Delphin,Schwertwal
Tanne,Fichte
Pfau,Fasan
Ameise,Termite
Laufen,Joggen
Weinen,Schluchzen
Reden,Flüstern
Zeichnen,Skizzieren
Kochen,Braten
Physik,Chemie
Schach,Dame (Spiel)
Instagram,TikTok
Google,Bing
Roman,Novelle
Oper,Ballett
Pizza,Flammkuchen
Smoothie,Milkshake
Orange,Pfirsich
Lila,Violett
Kreis,Ellipse
Würfel,Quader
Brot,Brötchen
Auto,Motorrad
Tisch,Stuhl
Kaffee,Tee
Fernseher,Computer
Zug,Straßenbahn
Schule,Universität
Haus,Wohnung
Schlüssel,Schloss
Kühlschrank,Gefriertruhe
Hund,Wolf
Katze,Löwe
Ente,Gans
Kuh,Büffel
Biene,Wespe
Frosch,Kröte
Papagei,Sittich
Elefant,Nashorn
Arzt,Sanitäter
Lehrer,Dozent
Bäcker,Koch
Pilot,Fluglotse
Polizist,Detektiv
Smartphone,Tablet
Laptop,Desktop-PC
Kamera,GoPro
Fernbedienung,Controller
Regen,Schnee
Sonne,Mond
Urlaub,Reise
Apfel,Birne
Tasse,Becher
Lehrer,Professor
Berg,Hügel
Auto,Lastwagen
Fluss,Bach
Fahrrad,Dreirad
Stuhl,Sessel
Flugzeug,Helikopter
Lampe,Kerze
Zug,Tram
Hose,Jeans
Schrank,Kommode
Hund,Welpe
Katze,Tiger
Buch,Heft
Haus,Villa
Brille,Kamera
Salat,Spinat
Banane,Mango
Käse,Quark
Uhr,Wecker
Straße,Autobahn
Fenster,Tür
Tisch,Schreibtisch
Telefon,Smartphone
Gabel,Löffel
Wasser,Saft
Salz,Zucker
Milch,Joghurt
Papier,Karton
Bett,Sofa
Herbst,Winter
Frühling,Sommer
Fußball,Basketball
Schere,Messer
Waschmaschine,Trockner
Pinsel,Stift
Computer,Laptop
Maus,Tastatur
Bild,Gemälde
Pfanne,Topf
Bäcker,Koch
Pilot,Steward
Zahnbürste,Zahnseide
Pullover,Hemd
Jacke,Mantel
Hand,Fuß
Auge,Ohr
Brot,Brötchen
Licht,Schatten
Gold,Silber
Mond,Sonne
Wolke,Nebel
Musik,Melodie
Lied,Hymne
Kino,Theater
Radio,Podcast
Bahn,Bus
Türklinke,Griff
Schokolade,Bonbon
Trommel,Geige
Wüste,Steppe
Insel,Halbinsel
Tinte,Farbe
Teller,Schale
Besen,Staubsauger
Decke,Kissen
Schnee,Eis
Nadel,Faden
Rucksack,Tasche
Schreibmaschine,Drucker
Schmetterling,Biene
Schwan,Ente
Spiegel,Glas
Kreis,Oval
Pyramide,Quader
Würfel,Kugel
Fisch,Delfin
Krokodil,Echse
Löwe,Panther
Tiger,Leopard
Papagei,Amsel
Wolf,Fuchs
Huhn,Ente
Adler,Falke
Krake,Tintenfisch
Haifisch,Rochen
Reh,Hirsch
Schlange,Eidechse
Käfer,Ameise
Spinne,Skorpion
Keks,Muffin
Kuchen,Torte
Eis,Slush
Donut,Brezel
Pizza,Flammkuchen
Burger,Sandwich
Reis,Nudeln
Suppe,Eintopf
Steak,Braten
Bratwurst,Currywurst
Kartoffel,Pommes
Paprika,Chili
Gurke,Zucchini
Erbse,Bohne
Mais,Hirse
Pfirsich,Nektarine
Aprikose,Mirabelle
Weintraube,Rosine
Zitrone,Limette
Ananas,Kokosnuss
Melone,Honigmelone
Pflaume,Kirsche
Walnuss,Haselnuss
Mandel,Marzipan
Honig,Marmelade
Butter,Margarine
Öl,Essig
Waffel,Crepe
Haferflocken,Müsli
Joghurt,Milch
Quark,Hüttenkäse
Kakao,Milchkaffee
Tee,Kräutertee
Cola,Fanta
Bier,Wein
Whiskey,Rum
Cocktail,Mojito
Kaktus,Bonsai
